公司名稱,職缺名稱,徵才網址,薪水區間,工作性質,工作地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具
香港商福維克樂智有限公司台灣分公司,資訊系統分析師,http://www.104.com.tw/job/6u1ov?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中正區北平東路30-1號2樓,不需負擔管理責任,無需出差外派,日班，9:00-18:00,週休二日,一個月內,1 人,上班族,4年以上,專科、大學,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
蓋亞汽車股份有限公司,DBA Engineer 資料庫管理工程師,http://www.104.com.tw/job/70sl0?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市烏日區高鐵一路299號7樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役工作、外籍人士、原住民【相關法令】、二度就業、中壯齡(45~54歲),不拘,專科、大學、碩士,資訊管理相關、資訊工程相關、其他數學及電算機科學相關,不拘,MS SQL、ASP.NET、Visual Studio
台灣樂天市場股份有限公司,【日商樂天】Data Engineer(DEV),http://www.104.com.tw/job/6yur3?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區民生東路三段49號11樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族,3年以上,大學、碩士,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Java、Python、MS SQL、Hive、Django
中華麟股份有限公司,PHP工程師,http://www.104.com.tw/job/6fgd0?jobsource=2018indexpoc,"月薪 40,000~60,000元",全職,台北市松山區民族東路648號1樓,不需負擔管理責任,無需出差外派,日班,週休二日,一週內,2至4 人,上班族,2年以上,專科以上,不拘,不拘,AJAX、PHP、MySQL、JavaScript、jQuery、CSS
昱勝資訊股份有限公司,測試專員,http://www.104.com.tw/job/71nyz?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市文山區羅斯福路六段218號5樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,上班族、原住民【相關法令】、二度就業,不拘,專科,不拘,不拘,不拘
艾絲資訊股份有限公司,艾絲資訊 PHP 系統開發工程師,http://www.104.com.tw/job/4ua1d?jobsource=2018indexpoc,"月薪 40,000~60,000元",全職,台北市大同區延平北路二段202號B1,不需負擔管理責任,無需出差外派,日班,依公司規定,兩週內,1至2 人,上班族、應屆畢業生歡迎身心障礙人士，需附身心障礙證明【相關法令】,不拘,專科、大學、碩士,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /略懂、讀 /中等、寫 /中等,不拘
永豐商業銀行股份有限公司,數據應用部-數據分析應用人員,http://www.104.com.tw/job/6wnct?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區台北市中山區建國北路二段9-1號,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,2 人,上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民【相關法令】、二度就業、中壯齡(45~54歲)、中高齡(55~64歲)、高齡(65歲以上)、更生人,不拘,碩士,統計學相關、資訊工程相關、其他數學及電算機科學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,不拘
台灣樂天市場股份有限公司,【日商樂天】Data Analyst(DEV),http://www.104.com.tw/job/6z1jb?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區民生東路三段49號11樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族,3年以上,大學、碩士,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Systems Analysis、Systems Analyst、Java、Python、MS SQL
萬蕙昇股份有限公司,程式設計工程師,http://www.104.com.tw/job/5m21k?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市大安區信義路三段132號8樓,不需負擔管理責任,無需出差外派,日班，8:30~18:00,週休二日,一個月內,1 人,上班族、夜間就讀中、原住民【相關法令】、二度就業,5年以上,高中以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通,C#、C++、C++.Net、Visual C#、Visual C++
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,軟體設計資深工程師(資料分析)_數位製造平台(桃三),http://www.104.com.tw/job/71rd7?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,桃園市桃園區興隆路18號,不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,一個月內,1 人,上班族、原住民【相關法令】,2年以上,碩士,資訊工程相關、資訊管理相關、工業工程相關,不拘,C、C++、Python、R、Scala、MS SQL
盛達電業股份有限公司,雲端網聯軟體工程師 (新竹),http://www.104.com.tw/job/71m50?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新竹市公道五路二段120號,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,一個月內,1至2 人,上班族,2年以上,大學、碩士,電機電子工程相關、資訊工程相關、通信學類,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,Linux、C、C++、C++.Net、Java、MS SQL、MySQL、HTML、JavaScript
