公司名稱,職缺名稱,徵才網址,薪水區間,工作性質,工作地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具
向中工業股份有限公司,程式設計專員,http://www.104.com.tw/job/2z094?jobsource=2018indexpoc,"月薪 30,000~35,000元",全職,彰化縣大村鄉大溪路13之10號,不需負擔管理責任,無需出差外派,日班，07:50~17:00,週休二日,不限,1 人,上班族、原住民【相關法令】、二度就業、中壯齡(45~54歲)、中高齡(55~64歲),2年以上,專科、大學,資訊工程相關、資訊管理相關、應用數學相關,不拘,ASP、C#、JSP、VBA
隼征股份有限公司,.net C#軟體工程師,http://www.104.com.tw/job/6ln9w?jobsource=2018indexpoc,"月薪 35,000~65,000元",全職,台北市松山區八德路四段245巷32弄42號4樓之1,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至2 人,上班族、應屆畢業生,1年以上,專科以上,其他數學及電算機科學相關、資訊工程相關、資訊管理相關,不拘,不拘
德義資訊股份有限公司,系統及資料庫工程師,http://www.104.com.tw/job/3cutt?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市內湖區,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1至2 人,上班族,不拘,高中以上,不拘,不拘,Oracle、PL/SQL
瑞星管理顧問股份有限公司,【Trend Micro_趨勢科技】自動化病毒分析系統PM(Business Process Analyst),http://www.104.com.tw/job/70sad?jobsource=2018indexpoc,"月薪 50,000元以上",全職,台北市大安區台北市大安區敦化南路二段198號,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,派遣,上班族,3年以上,專科以上,數學及電算機科學學科類、商業及管理學科類、自然科學學科類,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,PostgreSQL
思雲達科技有限公司,Go 開發工程師/Go developer,http://www.104.com.tw/job/71opm?jobsource=2018indexpoc,"月薪 65,000~80,000元",全職,台北市中山區復興北路60號,不需負擔管理責任,無需出差外派,日班，09:30~17:30,週休二日,不限,1 人,上班族,3年以上,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /略懂,Github、Java、PHP、Go、Database Administrator、MySQL
三好米_億東企業股份有限公司,台北總公司-資訊主管,http://www.104.com.tw/job/5okao?jobsource=2018indexpoc,"月薪 50,000元以上",全職,新北市泰山區新五路一段116號,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族,3年以上,專科以上,不拘,不拘,不拘
葳騰科技股份有限公司,資深後端工程師（須具效能調校經驗）,http://www.104.com.tw/job/6ycz0?jobsource=2018indexpoc,"年薪 900,000~1,200,000元",全職,台北市內湖區瑞光路583巷24號4樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班，09:00-18:00(彈性工時前後30分鐘),週休二日,不限,不限,上班族,7年以上,大學以上,不拘,不拘,MS SQL
美桀科技股份有限公司,MIS資訊人員/ERP系統管理師,http://www.104.com.tw/job/6z830?jobsource=2018indexpoc,"月薪 31,800~42,000元",全職,新北市中和區中正路716號15樓之3,不需負擔管理責任,無需出差外派,日班，0900-1800,依公司規定,不限,1 人,上班族、應屆畢業生、夜間就讀中、中壯齡(45~54歲),不拘,大學,不拘,不拘,鼎新、Delphi、MS SQL
台灣大車隊股份有限公司,主任工程師(資訊處-營運部),http://www.104.com.tw/job/71bdx?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市三重區重新路五段609巷18號4樓之7,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族、原住民【相關法令】、二度就業,5年以上,專科以上,不拘,不拘,ASP.NET、MS SQL、C++.Net
新加坡商耐思人工智能有限公司台灣分公司,【DBA】MySQL DBA / 資料庫管理工程師,http://www.104.com.tw/job/6wwxa?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市內湖區瑞湖街103號7樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,上班族,2年以上,專科以上,資訊工程相關、資訊管理相關,不拘,MySQL、RDBMS、AWS
全虹企業股份有限公司,應用系統開發部 技術副理,http://www.104.com.tw/job/6x3wl?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市內湖區民權東路六段18號6樓,不需負擔管理責任,無需出差外派,日班，Am9:00-Pm6:00,週休二日,一個月內,1 人,上班族、原住民【相關法令】、二度就業,6年以上,大學以上,資訊管理相關、資訊工程相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
瑞嘉軟體科技股份有限公司,【DBA】SQL Server DBA / 資料庫管理工程師,http://www.104.com.tw/job/6xt4l?jobsource=2018indexpoc,"月薪 55,000~142,000元",全職,台北市內湖區瑞湖街58號8樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族,1年以上,專科、大學、碩士,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
雨林新零售股份有限公司,SAP ABAP Engineer,http://www.104.com.tw/job/6yr5t?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區南京東路四段18號15樓,不需負擔管理責任,無需出差外派,日班，09:00-18:00,週休二日,不限,1 人,上班族、應屆畢業生、原住民【相關法令】、二度就業、中壯齡(45~54歲),3年以上,大學以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,SAP
寶華國際人力顧問股份有限公司,!✅調薪✅年獎⭐️知名電信⭐️開發維運資訊工程師⭐️無經驗可(高雄市三民區)#W0(11),http://www.104.com.tw/job/4c779?jobsource=2018indexpoc,"月薪 35,000~45,000元",全職,高雄市三民區,不需負擔管理責任,無需出差外派,日班，0900-1800,週休二日,不限,派遣,上班族、應屆畢業生,不拘,大學以上,不拘,不拘,不拘
創創數位科技股份有限公司,專案工程師,http://www.104.com.tw/job/6wmwk?jobsource=2018indexpoc,"月薪 26,000~35,000元",全職,新北市汐止區新台五路一段99號27樓,不需負擔管理責任,無需出差外派,日班,週休二日,可年後上班,2至3 人,上班族、應屆畢業生,不拘,專科、大學,資訊工程相關、資訊管理相關,不拘,不拘
生合生物科技股份有限公司,MIS人員,http://www.104.com.tw/job/71nk9?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,高雄市路竹區北嶺六路66號 (南科高雄園區),不需負擔管理責任,需出差，一年累積時間未定,日班，0830-1730,週休二日,一個月內,1 人,上班族,3年以上,專科、大學、碩士,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,鼎新
瑞嘉軟體科技股份有限公司,【DBA】SQL Server Database Developer / 資料庫開發工程師,http://www.104.com.tw/job/49ko5?jobsource=2018indexpoc,"月薪 55,000~142,000元",全職,台北市內湖區瑞湖街58號8樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族,1年以上,專科、大學、碩士,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),"Sr Software/Data Engineer, Smart MFG &amp; AI",http://www.104.com.tw/job/6sqm6?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,桃園市龜山區復興三路667號(以上為台灣美光晶圓科技公司地址，台灣美光各公司地址請參考相關連結) (林口華亞科技園區),不需負擔管理責任,需出差，一年累積時間未定,日班,依公司規定,一個月內,1至2 人,上班族、應屆畢業生、外籍人士、原住民【相關法令】、二度就業,3年以上,碩士以上,資訊管理相關、資訊工程相關、其他數學及電算機科學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
玉山銀行_玉山商業銀行股份有限公司,玉山銀行-TMA計劃(科技儲備幹部),http://www.104.com.tw/job/602gp?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區,管理人數未定,無需出差外派,日班，08:30~17:30,週休二日,不限,不限,上班族、應屆畢業生,不拘,碩士,數學及電算機科學學科類、統計學相關、資訊管理相關,不拘,不拘
競國實業股份有限公司,程式設計師,http://www.104.com.tw/job/1vtno?jobsource=2018indexpoc,"月薪 27,000~39,000元",全職,新北市樹林區俊英街84巷6號,不需負擔管理責任,無需出差外派,日班，07:55~17:05,週休二日,不限,2 人,上班族,不拘,專科、大學、碩士,資訊管理相關、資訊工程相關、商業及管理學科類,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Linux、UNIX、Windows 7、Windows 8、C、Java、Visual Basic、Visual Studio .net、MS SQL、Oracle、VBScript、Excel、Outlook、PowerPoint、Project、Word
上品房屋_上品國際不動產經紀有限公司,資料庫管理師,http://www.104.com.tw/job/6xtrm?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市信義區基隆路一段141號5F-6,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,不拘,不拘,不拘,不拘,不拘,不拘
上品房屋_上品國際不動產經紀有限公司,資料庫程式設計,http://www.104.com.tw/job/6xtrn?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市信義區基隆路一段141號5F-6,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,不拘,不拘,不拘,不拘,不拘,不拘
億力資訊股份有限公司,BI工程師(國際知名外商 台中/台北),http://www.104.com.tw/job/6jyt8?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區,不需負擔管理責任,需外派，一年累積時間約七個月以上,日班,依公司規定,不限,1 人,上班族、應屆畢業生、夜間就讀中,3年以上,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
型創科技顧問股份有限公司,軟體工程師,http://www.104.com.tw/job/5zors?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市板橋區文化路1段268號6樓之1,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,兩週內,1至2 人,上班族、應屆畢業生,不拘,大學、碩士,數學及電算機科學學科類、工程學科類,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,C、C#、C++、Java、MySQL、DHTML、HTML、JavaScript
旭海國際科技股份有限公司,智能旅館之PHP工程師【福利佳，待遇優】,http://www.104.com.tw/job/6smj2?jobsource=2018indexpoc,"月薪 60,000~80,000元",全職,台北市中山區中山北路二段115巷47號1樓,不需負擔管理責任,無需出差外派,日班,週休二日,兩週內,2至5 人,上班族,不拘,大學,不拘,不拘,不拘
昌祐科技國際股份有限公司,資訊人員,http://www.104.com.tw/job/71h94?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市霧峰區樹仁六街88號1樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:00~17:00,週休二日,一週內,1 人,上班族,3年以上,專科、大學,不拘,不拘,MS SQL、Delphi
誠品股份有限公司,【誠品】Data Engineer,http://www.104.com.tw/job/70vgd?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市信義區松德路196號B1(110),不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1 人,上班族,3年以上,大學以上,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,MS SQL、PostgreSQL、Tableau、Power BI​
錦順營造股份有限公司,工地副主任,http://www.104.com.tw/job/6y8yz?jobsource=2018indexpoc,"月薪 40,000~50,000元",全職,台北市中山區復興北路204號2樓之5,管理人數未定,無需出差外派,日班,依公司規定,不限,1至2 人,上班族、二度就業、中壯齡(45~54歲)、中高齡(55~64歲),5年以上,高中、專科、大學、碩士,建築及都市規劃學科類、土木工程相關,不拘,Windows Server 2008、Excel、Outlook、PowerPoint、Project、Wordperfect、中文打字20~50、AutoCAD
郝創意有限公司,DBA,http://www.104.com.tw/job/6v914?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市西屯區市政北二路282號,不需負擔管理責任,無需出差外派,日班，09:00~18:00,週休二日,不限,1至2 人,上班族,2年以上,專科、大學、碩士,不拘,不拘,不拘
iCHEF_資廚管理顧問股份有限公司,後端工程師 Backend Engineer,http://www.104.com.tw/job/4zo91?jobsource=2018indexpoc,"月薪 60,000~90,000元",全職,台北市大安區仁愛路三段136號15樓,不需負擔管理責任,無需出差外派,日班,週休二日,可年後上班,1至2 人,上班族,不拘,大學以上,不拘,不拘,Python、Ruby、MySQL
群燁系統股份有限公司,專案工程師(上班地點:台南),http://www.104.com.tw/job/6yjke?jobsource=2018indexpoc,"月薪 30,000~40,000元",全職,台南市中西區西門路一段701號8樓,不需負擔管理責任,需出差，一年累積時間未定,日班，08:30~17:30,週休二日,一個月內,1至2 人,上班族、應屆畢業生,不拘,專科、大學、碩士,資訊工程相關,不拘,C++、MS SQL
百煇企業有限公司,二級電機工作: (名額3名),http://www.104.com.tw/job/6n6jr?jobsource=2018indexpoc,"月薪 50,000~60,000元",全職,台中市梧棲區頂寮里大智路2段332號,不需負擔管理責任,無需出差外派,日班，0800-1700,週休二日,不限,派遣,上班族,不拘,專科以上,光電工程相關、電機電子維護相關、電機電子工程相關,不拘,不拘
永道營造有限公司,瀝青品管工程師,http://www.104.com.tw/job/70wts?jobsource=2018indexpoc,"月薪 30,000~36,000元",全職,台南市新營區三民路186巷2-12號 (新營工業區),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,不拘,不拘,不拘,不拘,不拘,不拘
非常勸敗VeryBuy_非常網路科技股份有限公司,Data Engineer,http://www.104.com.tw/job/71afs?jobsource=2018indexpoc,"年薪 700,000~1,200,000元",全職,台北市中山區中山北路三段 捷運中山國小/民權西路站 走路約10分鐘,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,不拘,不拘,不拘,不拘,不拘,不拘
中國醫藥大學附設醫院,10R0 大數據中心-大數據工程師/DBA工程師,http://www.104.com.tw/job/5dnio?jobsource=2018indexpoc,"月薪 36,000~40,000元",全職,台中市北區育德路2號,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,不限,上班族,3年以上,大學、碩士,資訊管理相關、資訊工程相關、統計學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Python
碩誠國際股份有限公司,SQL 工程師,http://www.104.com.tw/job/6i40n?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區敦化北路170號14樓D室,不需負擔管理責任,無需出差外派,日班,週休二日,不限,不限,上班族,不拘,高中、專科、大學,不拘,不拘,MS SQL、MySQL、Oracle、PL/SQL
宇清數位智慧股份有限公司,軟體工程師/資深軟體工程師,http://www.104.com.tw/job/6o3gp?jobsource=2018indexpoc,"月薪 40,000~100,000元",全職,新竹市東區金山七街1號6樓,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班，9:00-17:00，需輪班,週休二日,不限,3至5 人,上班族、應屆畢業生,不拘,專科以上,不拘,不拘,C#、C++、Python、Visual C#、Visual C++、MS SQL、Oracle、PL/SQL、PostgreSQL
美商先進資訊有限公司 Advanced Control Systems Inc.,專案工程師 (Project Engineer),http://www.104.com.tw/job/6c3ws?jobsource=2018indexpoc,"月薪 50,000~65,000元",全職,台中市西區臺灣大道二段285號13樓之1,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班，e.g. 8:30 ~ 18:00,週休二日,一個月內,2至3 人,上班族、應屆畢業生,不拘,大學、碩士,電機電子工程相關、資訊工程相關、工程學科類,英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通,DOS、Linux、Shell、Windows 10、Systems Administration、C++.Net、Java、Perl、Python、Visual Basic .net、Visual Studio .net、Access、MySQL、ODBC、Oracle、PL/SQL、RDBMS、Vmware、Firewall、Hubs/ Routers、LAN、Routers、SOAP、ssh、TCP/IP、VPN、WAN、Excel、Outlook、PowerPoint、Word、AutoCAD、ArcGis、GIS、MapGIS
政志營造有限公司,公共工程品管工程師,http://www.104.com.tw/job/6n0gq?jobsource=2018indexpoc,"月薪 45,000~48,000元",全職,雲林縣北港鎮民樂路738號,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,2至3 人,上班族、原住民【相關法令】、二度就業、更生人,1年以上,專科以上,不拘,不拘,Excel、Word、AutoCAD
新堡科技股份有限公司,ASP.Net/C#專案工程師_流程組,http://www.104.com.tw/job/63pqy?jobsource=2018indexpoc,"月薪 35,000元以上",全職,台北市內湖區行愛路128號2樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至2 人,上班族、原住民【相關法令】、二度就業,1年以上,大學以上,不拘,不拘,不拘
能鉅科技有限公司,機器視覺工程師,http://www.104.com.tw/job/6635n?jobsource=2018indexpoc,"月薪 35,000~50,000元",全職,台中市北區中清路一段370號8樓之2,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,可年後上班,1 人,上班族、應屆畢業生,2年以上,大學以上,電機電子工程相關、資訊工程相關、工程學科類,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,C#、Visual Basic .net
資策會_財團法人資訊工業策進會,【資安所】智慧雲端平台中心-資料分析師,http://www.104.com.tw/job/6z89s?jobsource=2018indexpoc,"月薪 40,000元以上",全職,台北市松山區民生東路四段133號,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1 人,上班族、應屆畢業生、夜間就讀中、原住民【相關法令】、二度就業,不拘,碩士以上,資訊管理相關、資訊工程相關、統計學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Python、hadoop
英屬維京群島商嘉碼科技有限公司台灣分公司,"賭場管理系統伺服器工程師(C,C++)(一)",http://www.104.com.tw/job/2ymy6?jobsource=2018indexpoc,"月薪 35,000~50,000元",全職,台中市西屯區工業三十八路210號3樓之6 (台中工業區),不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，09:30~18:30,週休二日,一個月內,1 人,上班族、應屆畢業生,不拘,大學以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
日商清水營造工程股份有限公司台灣分公司,建築工程師,http://www.104.com.tw/job/4wsfb?jobsource=2018indexpoc,"月薪 35,000~65,000元",全職,台北市大安區芳蘭路,不需負擔管理責任,需出差外派，一年累積時間未定,日班,週休二日,一個月內,2至3 人,上班族,3年以上,專科以上,建築相關、土木工程相關,不拘,不拘
網際威信股份有限公司,AI應用軟體開發工程師,http://www.104.com.tw/job/711tp?jobsource=2018indexpoc,"月薪 35,000元以上",全職,台北市內湖區港墘路200號7樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,3至6 人,上班族、應屆畢業生、研發替代役工作、原住民【相關法令】、二度就業、中壯齡(45~54歲),1年以上,大學以上,數理統計相關、資訊工程相關、其他數學及電算機科學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
碩誠國際股份有限公司,JAVA engineer (年薪百萬/大型專案/新技術),http://www.104.com.tw/job/6i40b?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區敦化北路170號14樓D室,不需負擔管理責任,無需出差外派,日班,週休二日,不限,不限,上班族,不拘,高中、專科、大學,不拘,不拘,Java、Spring、Struts、MS SQL、MySQL、Oracle、Tomcat、HTML、J2EE、JavaScript、jQuery、CSS
尊博科技股份有限公司,資料庫管理師(MySQL),http://www.104.com.tw/job/5cjwo?jobsource=2018indexpoc,"月薪 30,000~60,000元",全職,台中市西屯區工業38路210號6樓之3 (台中工業區),不需負擔管理責任,無需出差外派,日班，09:30~18:30,週休二日,一個月內,1 人,上班族,3年以上,大學以上,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Database Administrator、Database Management、MySQL
全球快遞_全球商務科技股份有限公司,科服處-程式設計師(SD人員),http://www.104.com.tw/job/6mbly?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區長安東路二段162號2樓,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1 人,上班族、二度就業,3年以上,大學以上,不拘,不拘,不拘
日商清水營造工程股份有限公司台灣分公司,建築設備工程師,http://www.104.com.tw/job/6ydpx?jobsource=2018indexpoc,"月薪 35,000~65,000元",全職,台北市大安區芳蘭路,不需負擔管理責任,需出差外派，一年累積時間未定,日班,週休二日,一個月內,2至3 人,上班族,3年以上,專科以上,建築相關、土木工程相關,不拘,不拘
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),DATA SCIENCE ENGINEER - SMART MFG &amp; AI 資料科學家(台中),http://www.104.com.tw/job/6vvhe?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市后里區三豐路四段369號,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,2至3 人,上班族、應屆畢業生、外籍人士、原住民【相關法令】歡迎身心障礙人士，需附身心障礙證明【相關法令】,不拘,大學、碩士,資訊工程相關、資訊管理相關、工業工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
思雲達科技有限公司,資深Go 開發工程師/Senior Go developer,http://www.104.com.tw/job/6zhf8?jobsource=2018indexpoc,"月薪 75,000~90,000元",全職,台北市中山區復興北路60號,管理4人以下,無需出差外派,日班，09:30~17:30,週休二日,不限,1 人,上班族,5年以上,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /略懂,Github、Java、PHP、Go、Database Administrator、MySQL
幸福廣播事業股份有限公司,資通工程師,http://www.104.com.tw/job/6pfkj?jobsource=2018indexpoc,"月薪 30,000元以上",全職,台北市內湖區新湖二路333號3樓,不需負擔管理責任,無需出差外派,日班，0900-1800,依公司規定,一個月內,1 人,上班族、二度就業、中壯齡(45~54歲)歡迎身心障礙人士，需附身心障礙證明【相關法令】,2年以上,專科、大學、碩士,不拘,不拘,不拘
日商清水營造工程股份有限公司台灣分公司,營造工程師,http://www.104.com.tw/job/6szw5?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市清水區,不需負擔管理責任,需出差外派，一年累積時間未定,日班,週休二日,一個月內,1至3 人,上班族,3年以上,專科以上,建築相關、土木工程相關,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,不拘
弈樂科技股份有限公司,資料庫管理師(MySQL),http://www.104.com.tw/job/6j4su?jobsource=2018indexpoc,"月薪 32,000~60,000元",全職,台中市西屯區安和東路3號6樓,不需負擔管理責任,無需出差外派,日班，0930-1830,週休二日,一個月內,1 人,上班族,3年以上,大學以上,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Database Administrator、Database Management、MySQL
日商清水營造工程股份有限公司台灣分公司,建築品管工程師,http://www.104.com.tw/job/7148d?jobsource=2018indexpoc,"月薪 35,000~65,000元",全職,台北市大安區芳蘭路,不需負擔管理責任,需出差外派，一年累積時間未定,日班,週休二日,一個月內,1至2 人,上班族,3年以上,專科以上,建築相關、土木工程相關,不拘,不拘
為升電裝工業股份有限公司,[資訊部] 程式設計高級工程師/工程師,http://www.104.com.tw/job/6ggq3?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,彰化縣福興鄉彰鹿路六段546巷6號,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族,2年以上,大學以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
睿加科技股份有限公司,網頁後端工程師,http://www.104.com.tw/job/6vp1i?jobsource=2018indexpoc,"月薪 40,000~60,000元",全職,台北市信義區基隆路1段420號13樓,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1至2 人,上班族、應屆畢業生,不拘,大學以上,資訊工程相關、工程學科類,不拘,PHP、MySQL
立合土木結構工程技師事務所,監造工程師,http://www.104.com.tw/job/6e80t?jobsource=2018indexpoc,"月薪 27,000~50,000元",全職,高雄市鼓山區華榮路250號2樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至2 人,上班族,不拘,專科以上,建築相關、土木工程相關、測量工程相關,中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通台語 -- 略懂,AutoCAD
華友聯市地重劃股份有限公司,工務主管(高雄),http://www.104.com.tw/job/70olm?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,高雄市三民區建國一路458號11樓,管理人數未定,無需出差外派,日班,依公司規定,不限,不限,上班族、中壯齡(45~54歲),4年以上,專科、大學、碩士,工程學科類、建築及都市規劃學科類,台語 -- 中等,Excel、Word、AutoCAD
新竹縣美國學校,資訊人員 IT Coordinator,http://www.104.com.tw/job/5y0sa?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新竹縣竹北市高鐵二路189號,不需負擔管理責任,無需出差外派,日班，8:00 ~ 17:00,週休二日,兩週內,1 人,上班族、二度就業,2年以上,大學、碩士,資訊管理相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Shell、Windows Server 2012、Vmware
好事九九互聯網有限公司(籌備處),網路商城後台維護人員,http://www.104.com.tw/job/71q37?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區南京東路四段133巷4弄17號,不需負擔管理責任,無需出差外派,日班,依公司規定,一週內,1 人,上班族、應屆畢業生、二度就業,1年以上,大學以上,資訊工程相關,不拘,不拘
奇鼎科技股份有限公司,資訊工程師,http://www.104.com.tw/job/6p5va?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新竹縣湖口鄉新竹工業區大同路7號 (新竹工業區),不需負擔管理責任,無需出差外派,日班，08:30-17:30,週休二日,不限,1 人,上班族,1年以上,大學、碩士,資訊管理相關、資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,ASP.NET、C#
普匯金融科技股份有限公司,PHP 後端程式設計師,http://www.104.com.tw/job/682xq?jobsource=2018indexpoc,"月薪 40,000~100,000元",全職,台北市中山區松江路111號11樓之2,不需負擔管理責任,無需出差外派,日班，需輪班,週休二日,不限,不限,上班族、應屆畢業生,1年以上,專科以上,不拘,不拘,PHP、MySQL
好好投資科技股份有限公司,Backend Engineer(需熟Python、RESTful API ),http://www.104.com.tw/job/5572i?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中正區南海路1號13樓(金融科技創新園區),不需負擔管理責任,無需出差外派,日班,週休二日,兩週內,2 人,上班族、應屆畢業生、二度就業、學生實習,1年以上,專科以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
香港商俊思海外有限公司台灣分公司,Data Analyst (Lane Crawford Joyce Group),http://www.104.com.tw/job/70v00?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區敦化南路一段2號16樓,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1 人,上班族,2年以上,大學以上,資訊管理相關、數學及電算機科學學科類,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,Python、Excel、Tableau、Power BI​、SAS、SPSS
鄉林建設事業股份有限公司,資訊工程師,http://www.104.com.tw/job/6zzyj?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市西區臺灣大道二段408號1樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,一個月內,1 人,上班族,1年以上,大學以上,數理統計相關、資訊工程相關,不拘,不拘
